Etape,P(Xn=1),P(Xn=2),P(Xn=3),P(Xn=4),P(Xn=5),P(Xn=6),P(Xn=7),P(Xn=8)
1,0.0000000000,0.2000000030,0.0000000000,0.2300000042,0.0000000000,0.5699999928,0.0000000000,0.0000000000
2,0.0000000000,0.3648999929,0.0000000000,0.2759999931,0.0000000000,0.1995000094,0.2166000009,0.0000000000
3,0.0000000000,0.2386790067,0.0000000000,0.3599269986,0.0000000000,0.4025340080,0.0758100003,0.0000000000
4,0.0000000000,0.2953746021,0.0000000000,0.4148231745,0.0000000000,0.2540427446,0.1529629230,0.0000000000
5,0.0000000000,0.2405903786,0.0000000000,0.4827593267,0.0000000000,0.3227217495,0.0965362415,0.0000000000
6,0.0000000000,0.2552381754,0.0000000000,0.5380951166,0.0000000000,0.2589123249,0.1226342618,0.0000000000
7,0.0000000000,0.2280598730,0.0000000000,0.5967999101,0.0000000000,0.2775246501,0.0983866826,0.0000000000
8,0.0000000000,0.2274138182,0.0000000000,0.6492536664,0.0000000000,0.2463967055,0.1054593623,0.0000000000
9,0.0000000000,0.2112391293,0.0000000000,0.7015588284,0.0000000000,0.2467344999,0.0936307460,0.0000000000
10,0.0000000000,0.2053578794,0.0000000000,0.7501438260,0.0000000000,0.2285758406,0.0937591121,0.0000000000
11,0.0000000000,0.1938619912,0.0000000000,0.7973761559,0.0000000000,0.2225972861,0.0868588164,0.0000000000
12,0.0000000000,0.1864989698,0.0000000000,0.8419644237,0.0000000000,0.2099036276,0.0845869705,0.0000000000
13,0.0000000000,0.1772457212,0.0000000000,0.8848592043,0.0000000000,0.2020760626,0.0797633752,0.0000000000
14,0.0000000000,0.1697757095,0.0000000000,0.9256257415,0.0000000000,0.1919616312,0.0767889023,0.0000000000
15,0.0000000000,0.1618026048,0.0000000000,0.9646741748,0.0000000000,0.1839259714,0.0729454160,0.0000000000
16,0.0000000000,0.1547052264,0.0000000000,1.0018887520,0.0000000000,0.1752548963,0.0698918700,0.0000000000
17,0.0000000000,0.1476103812,0.0000000000,1.0374709368,0.0000000000,0.1675880402,0.0665968582,0.0000000000
18,0.0000000000,0.1410304904,0.0000000000,1.0714213848,0.0000000000,0.1598897278,0.0636834577,0.0000000000
19,0.0000000000,0.1346272677,0.0000000000,1.1038583517,0.0000000000,0.1527702659,0.0607580952,0.0000000000
20,0.0000000000,0.1285864562,0.0000000000,1.1348226070,0.0000000000,0.1458292305,0.0580527000,0.0000000000
21,0.0000000000,0.1227725968,0.0000000000,1.1643974781,0.0000000000,0.1392887235,0.0554151051,0.0000000000
